,char,length,count
530,"木"" kvg:position=""bottom",490.36371153551204,13
531,十,397.24994561890594,12
532,用,540.0717422197753,12
533,丿,429.82048531711285,12
534,"亻"" kvg:variant=""true"" kvg:original=""人",477.118757158819,13
535,"用"" kvg:variant=""true",646.4910126364298,13
536,丿,477.4688922686572,13
537,"寸"" kvg:position=""bottom",507.1686087406227,13
538,"匚"" kvg:part=""2"" kvg:position=""kamae",508.5142009465354,13
539,"八"" kvg:position=""bottom",485.80747166445366,13
540,勹,508.2435754475008,13
541,"八"" kvg:position=""bottom",475.5706409308598,13
542,"女"" kvg:position=""bottom",580.9730120335378,13
543,一,529.0738663887464,13
544,人,392.83480922210185,13
545,"己"" kvg:variant=""true",570.3499539341643,14
546,"力"" kvg:position=""right",558.7916625331497,13
547,豕,468.7748843404596,14
548,口,505.77427162069534,14
549,人,490.6387900681386,14
550,口,490.85550455405195,14
551,小,488.8239584490426,14
552,"灬"" kvg:variant=""true"" kvg:original=""火",466.808077819659,14
553,"日"" kvg:position=""bottom",500.2713513238633,14
554,丿,483.80388448526855,14
555,"日"" kvg:position=""bottom",480.2128619703287,13
556,"日"" kvg:position=""bottom",562.3898424229006,14
557,日,556.1624622263989,14
558,一,570.1882767717627,15
559,"八"" kvg:position=""bottom",553.9067398500874,15
560,"十"" kvg:position=""bottom",492.7079469083296,15
561,丶,520.196746088452,15
562,"亻"" kvg:variant=""true"" kvg:original=""人"" kvg:radicalForm=""true",531.5841879794526,14
563,厂,581.2123635874314,15
564,"心"" kvg:position=""bottom",464.16190228512215,15
565,人,482.1270205531965,15
566,冂,486.3437982616166,16
567,"寸"" kvg:position=""right",557.0494500310193,16
568,二,492.46563017598316,16
569,"皿"" kvg:position=""bottom",538.3607476256007,17
570,"皿"" kvg:position=""bottom",588.6013204595478,16
571,"夕"" kvg:position=""bottom",527.9569347273083,15
572,"八"" kvg:position=""bottom",521.4127601561054,17
573,"田"" kvg:position=""right",637.3965734535193,17
574,夂,569.7157994765757,17
575,日,540.0170852153555,18
576,匕,618.4113865879801,21
577,"亻"" kvg:variant=""true"" kvg:original=""人",677.9524784964309,21
578,"灬"" kvg:variant=""true"" kvg:original=""火"" kvg:position=""bottom",593.8554399973355,22
579,丿,664.699093396242,22
580,"丿"" kvg:position=""left",208.8878061835224,2
581,丿,249.35591068517067,3
582,"丿"" kvg:position=""left",271.80843647174436,4
583,丿,260.9277074778703,4
584,丿,272.1293487814465,5
585,"丿"" kvg:position=""left",297.08833877147777,6
586,"儿"" kvg:part=""2"" kvg:original=""八"" kvg:radical=""tradit",299.3341200308507,6
587,"丿"" kvg:position=""left",338.59216555130115,6
588,丿,310.6073331791215,6
589,丿,272.15350977859595,6
590,丿,312.72176670156574,7
591,丿,307.5513014823035,7
592,"丿"" kvg:position=""left",345.47130588100276,8
593,丶,383.29439242155615,7
594,"丿"" kvg:position=""left",315.2701793767594,7
595,"丿"" kvg:position=""left",326.8862550282002,8
596,丶,368.7004589464479,8
597,丿,367.5694638254112,10
598,"丿"" kvg:position=""left"" kvg:radical=""nelson",384.34422729595684,11
599,丿,515.8699677055992,14
600,"入"" kvg:radical=""general",148.29866702419775,2
601,"王"" kvg:original=""玉"" kvg:partial=""true"" kvg:position=""bottom",295.4957355015649,6
602,"入"" kvg:radical=""tradit",390.525446634786,8
603,"刂"" kvg:variant=""true"" kvg:original=""刀",395.04962601029325,9
604,"八"" kvg:radical=""general",118.03063017477058,2
605,"厶"" kvg:position=""bottom",211.5254784821259,4
606,"八"" kvg:position=""bottom"" kvg:radical=""tradit",180.76453839124434,4
607,"八"" kvg:position=""top"" kvg:radical=""general",249.52289259094903,4
608,"八"" kvg:position=""bottom"" kvg:radical=""general",295.80868682591495,6
609,大,236.93335711584413,6
